Base	Cluster	Month	Day	meanPas	countPick	sumPass	Lat	Lon
67	B02512	1	9	5	2	145	358	40.7114935840609	-74.0116670630341
68	B02512	1	9	6	2	112	276	40.7114935840609	-74.0116670630341
69	B02512	1	9	7	2	66	163	40.7114935840609	-74.0116670630341
70	B02512	1	9	8	2	75	181	40.7114935840609	-74.0116670630341
71	B02512	1	9	9	2	90	216	40.7114935840609	-74.0116670630341
72	B02512	1	9	10	2	129	313	40.7114935840609	-74.0116670630341
73	B02512	1	9	11	3	95	242	40.7114935840609	-74.0116670630341
74	B02512	1	9	12	2	79	195	40.7114935840609	-74.0116670630341
75	B02512	1	9	13	3	101	278	40.7114935840609	-74.0116670630341
76	B02512	1	9	14	2	57	132	40.7114935840609	-74.0116670630341
77	B02512	1	9	15	2	54	131	40.7114935840609	-74.0116670630341
78	B02512	1	9	16	2	90	217	40.7114935840609	-74.0116670630341
79	B02512	1	9	17	3	90	229	40.7114935840609	-74.0116670630341
80	B02512	1	9	18	2	84	210	40.7114935840609	-74.0116670630341
81	B02512	1	9	19	2	111	261	40.7114935840609	-74.0116670630341
82	B02512	1	9	20	3	108	275	40.7114935840609	-74.0116670630341
83	B02512	1	9	21	2	56	138	40.7114935840609	-74.0116670630341
84	B02512	1	9	22	3	69	174	40.7114935840609	-74.0116670630341
85	B02512	1	9	23	2	59	144	40.7114935840609	-74.0116670630341
86	B02512	1	9	24	2	58	145	40.7114935840609	-74.0116670630341
87	B02512	1	9	25	2	78	195	40.7114935840609	-74.0116670630341
88	B02512	1	9	26	3	92	253	40.7114935840609	-74.0116670630341
89	B02512	1	9	27	2	94	231	40.7114935840609	-74.0116670630341
90	B02512	1	9	28	2	50	121	40.7114935840609	-74.0116670630341
91	B02512	1	9	29	2	53	132	40.7114935840609	-74.0116670630341
92	B02512	1	9	30	2	56	129	40.7114935840609	-74.0116670630341
93	B02512	2	7	1	2	3	5	41.0110297857639	-73.7595916551488
94	B02512	2	7	3	2	4	9	41.0110297857639	-73.7595916551488
95	B02512	2	7	4	3	5	14	41.0110297857639	-73.7595916551488
96	B02512	2	7	5	2	4	7	41.0110297857639	-73.7595916551488
97	B02512	2	7	6	1	3	3	41.0110297857639	-73.7595916551488
98	B02512	2	7	7	3	3	9	41.0110297857639	-73.7595916551488
99	B02512	2	7	8	2	7	16	41.0110297857639	-73.7595916551488
100	B02512	2	7	9	3	6	18	41.0110297857639	-73.7595916551488
101	B02512	2	7	10	3	8	23	41.0110297857639	-73.7595916551488
102	B02512	2	7	11	2	5	12	41.0110297857639	-73.7595916551488
103	B02512	2	7	12	3	3	10	41.0110297857639	-73.7595916551488
104	B02512	2	7	13	3	9	26	41.0110297857639	-73.7595916551488
105	B02512	2	7	14	3	8	25	41.0110297857639	-73.7595916551488
106	B02512	2	7	15	2	4	10	41.0110297857639	-73.7595916551488
107	B02512	2	7	16	2	4	10	41.0110297857639	-73.7595916551488
108	B02512	2	7	17	2	6	11	41.0110297857639	-73.7595916551488
109	B02512	2	7	18	3	5	14	41.0110297857639	-73.7595916551488
110	B02512	2	7	19	3	4	11	41.0110297857639	-73.7595916551488
111	B02512	2	7	20	3	5	15	41.0110297857639	-73.7595916551488
112	B02512	2	7	21	2	4	8	41.0110297857639	-73.7595916551488
113	B02512	2	7	22	2	2	5	41.0110297857639	-73.7595916551488
114	B02512	2	7	23	2	7	16	41.0110297857639	-73.7595916551488
115	B02512	2	7	24	3	2	6	41.0110297857639	-73.7595916551488
116	B02512	2	7	25	3	2	6	41.0110297857639	-73.7595916551488
117	B02512	2	7	26	3	3	8	41.0110297857639	-73.7595916551488
118	B02512	2	7	27	3	8	24	41.0110297857639	-73.7595916551488
119	B02512	2	7	29	3	1	3	41.0110297857639	-73.7595916551488
120	B02512	2	7	30	3	15	39	41.0110297857639	-73.7595916551488
121	B02512	2	7	31	2	7	17	41.0110297857639	-73.7595916551488
122	B02512	2	8	1	2	4	10	41.0110297857639	-73.7595916551488
123	B02512	2	8	2	2	6	14	41.0110297857639	-73.7595916551488
124	B02512	2	8	3	2	7	15	41.0110297857639	-73.7595916551488
125	B02512	2	8	4	2	7	14	41.0110297857639	-73.7595916551488
126	B02512	2	8	5	4	2	8	41.0110297857639	-73.7595916551488
127	B02512	2	8	6	3	5	13	41.0110297857639	-73.7595916551488
128	B02512	2	8	7	2	3	7	41.0110297857639	-73.7595916551488
129	B02512	2	8	8	3	5	13	41.0110297857639	-73.7595916551488
130	B02512	2	8	9	2	4	9	41.0110297857639	-73.7595916551488
131	B02512	2	8	10	2	3	7	41.0110297857639	-73.7595916551488
132	B02512	2	8	11	3	4	11	41.0110297857639	-73.7595916551488
133	B02512	2	8	12	2	4	7	41.0110297857639	-73.7595916551488
134	B02512	2	8	13	2	3	6	41.0110297857639	-73.7595916551488
135	B02512	2	8	14	2	11	27	41.0110297857639	-73.7595916551488
136	B02512	2	8	15	2	5	9	41.0110297857639	-73.7595916551488
137	B02512	2	8	16	2	5	11	41.0110297857639	-73.7595916551488
138	B02512	2	8	17	3	2	6	41.0110297857639	-73.7595916551488
139	B02512	2	8	18	2	4	8	41.0110297857639	-73.7595916551488
140	B02512	2	8	19	2	4	10	41.0110297857639	-73.7595916551488
141	B02512	2	8	20	3	3	8	41.0110297857639	-73.7595916551488
142	B02512	2	8	21	3	4	11	41.0110297857639	-73.7595916551488
143	B02512	2	8	22	3	9	24	41.0110297857639	-73.7595916551488
144	B02512	2	8	23	3	9	25	41.0110297857639	-73.7595916551488
145	B02512	2	8	24	2	8	20	41.0110297857639	-73.7595916551488
146	B02512	2	8	25	2	4	8	41.0110297857639	-73.7595916551488
147	B02512	2	8	26	2	4	8	41.0110297857639	-73.7595916551488
148	B02512	2	8	27	3	6	19	41.0110297857639	-73.7595916551488
149	B02512	2	8	28	2	6	13	41.0110297857639	-73.7595916551488
150	B02512	2	8	29	2	6	14	41.0110297857639	-73.7595916551488
151	B02512	2	8	30	2	5	8	41.0110297857639	-73.7595916551488
152	B02512	2	8	31	2	6	13	41.0110297857639	-73.7595916551488
153	B02512	2	9	1	2	2	5	41.0110297857639	-73.7595916551488
154	B02512	2	9	2	2	3	7	41.0110297857639	-73.7595916551488
155	B02512	2	9	3	3	5	13	41.0110297857639	-73.7595916551488
